TermCode,Term,TermPart,Title,Body,Link,Date,Time,EndDate,EndTime,Category,Location,MtgType,Sortable
202502,Spring 2025,,Online Application for Graduation,,,9/2/2024,,1/9/2025,,Graduation Event,,,2024/09/02
202502,Spring 2025,,Readmission Application Deadline,Readmission application deadline for students with an academic standing of drop or review. All other readmission applicants see December 1..,,10/1/2024,,10/1/2024,,,,,2024/10/01
202502,Spring 2025,,Schedule of Classes Available Online,,,10/30/2024,,10/30/2024,,Registration Event,,,2024/10/30
202502,Spring 2025,,Time Tickets for Phase I Registration,,,11/7/2024,,11/7/2024,,Registration Event,,,2024/11/07
202502,Spring 2025,,Phase I Registration,,,11/11/2024,,12/13/2024,,Registration Event,,,2024/11/11
202502,Spring 2025,,Cross Registration Application Deadline,,,11/15/2024,,11/15/2024,,Registration Event,,,2024/11/15
202502,Spring 2025,,Readmission Application Deadline,The deadline for readmission applications with an academic standing of drop or review was October 1.,,12/1/2024,,12/1/2024,,,,,2024/12/01
202502,Spring 2025,,Deadline for Out-of-State Tuition Classification Waiver,,,12/1/2024,,12/1/2024,,,,,2024/12/01
202502,Spring 2025,,Deadline to Request Leave of Absence,,https://registrar.gatech.edu/info/leave-absence-application-request,12/1/2024,,12/1/2024,,,,,2024/12/01
202502,Spring 2025,,Time Tickets for Phase II Registration,,,12/31/2024,,12/31/2024,,Registration Event,,,2024/12/31
202502,Spring 2025,,Official Institute Holiday (recognized),,,1/1/2025,,1/1/2025,,Holiday Break,,,2025/01/01
202502,Spring 2025,,Phase II Registration,,,1/2/2025,,1/10/2025,,Registration Event,,,2025/01/02
202502,Spring 2025,,Tuition Assistance Program Registration,Registration for benefits-eligible employees participating in the Tuition Assistance Program (TAP). Registration ends at 4:00pm Eastern Time.,https://hr.gatech.edu/TAP,1/2/2025,,1/10/2025,16:00,Registration Event,,,2025/01/02
202502,Spring 2025,,First Day of Classes,,,1/6/2025,,1/6/2025,,,,,2025/01/06
202502,Spring 2025,,Thesis Deadline for Enrollment Waiver,,,1/10/2025,,1/10/2025,,Graduation Event,,,2025/01/10
202502,Spring 2025,,Deadline for Registration/Schedule Changes,"""Last day to register, make schedule changes, and/or drop without a W grade by 4:00 pm EST. No changes to/from audit mode permitted after the registration deadline.""",,1/10/2025,,1/10/2025,,Registration Event,,,2025/01/10
202502,Spring 2025,,Verification of Student Participation in Class - Faculty Only,All instructors are required to verify student participation in class. Reports due at 4:00 pm EST.,,1/15/2025,,1/21/2025,,,,,2025/01/15
202502,Spring 2025,,Official Institute Holiday,,,1/20/2025,,1/20/2025,,Holiday Break,,,2025/01/20
202502,Spring 2025,,Progress Report Deadline,,,2/10/2025,,2/10/2025,,,,,2025/02/10
202502,Spring 2025,,Spring Break,,,3/17/2025,,3/21/2025,,Holiday Break,,,2025/03/17
202502,Spring 2025,,Final Instructional Class Days,,,4/21/2025,,4/22/2025,,,,,2025/04/21
202502,Spring 2025,,Reading Period,,,4/23/2025,,4/23/2025,,,,,2025/04/23
202502,Spring 2025,,Final Exams,See the official exam schedule for details. Policy in the Catalog under Rules/Regulations XII.D. Contact the Academic Scheduling team in the Registrar's Office with questions.,https://registrar.gatech.edu/academic-scheduling/exams,4/24/2025,,5/1/2025,,,,,2025/04/24
202502,Spring 2025,,Thesis Deadline for Master's Degrees,,,4/25/2025,,4/25/2025,,Graduation Event,,,2025/04/25
202502,Spring 2025,,Thesis Deadline for Doctoral Degrees,,,4/25/2025,,4/25/2025,,Graduation Event,,,2025/04/25
202502,Spring 2025,,Reading Period,,,4/25/2025,8:00,4/25/2025,14:40,,,,2025/04/25 8:00
202502,Spring 2025,,Reading Period,,,4/29/2025,8:00,4/29/2025,14:40,,,,2025/04/29 8:00
202502,Spring 2025,,End of Term,,,5/1/2025,,5/1/2025,,,,,2025/05/01
202502,Spring 2025,,Commencement,,https://commencement.gatech.edu/,5/2/2025,,5/2/2025,,Graduation Event,,,2025/05/02
202502,Spring 2025,,Commencement,,https://commencement.gatech.edu/,5/3/2025,,5/3/2025,,Graduation Event,,,2025/05/03
202502,Spring 2025,,Grade Submission Deadline,,,5/5/2025,,5/5/2025,,,,,2025/05/05
202502,Spring 2025,,Grades Available to Students,,,5/6/2025,,5/6/2025,,,,,2025/05/06
202502,Spring 2025,,Degree Confirmation Date for Spring Candidates,,,5/8/2025,,5/8/2025,,Graduation Event,,,2025/05/08
